monthly_transaction_2024,transaction_type,channel,total_transaction,number_of_transactions,avg_transaction,percentage_per_channel,running_total,channel_rank
2024-07-01,BPAY,Mobile App,41222.54,5,8244.51,38.73,401097.22,1
2024-07-01,BPAY,Branch,27879.46,2,13939.73,26.19,401097.22,2
2024-07-01,BPAY,EFTPOS,15133.32,2,7566.66,14.22,401097.22,3
2024-07-01,BPAY,ATM,14763.46,1,14763.46,13.87,401097.22,4
2024-07-01,BPAY,Internet Banking,7436.08,2,3718.04,6.99,401097.22,5
2024-08-01,BPAY,Mobile App,29826.93,3,9942.31,50.88,459721.60,1
2024-08-01,BPAY,EFTPOS,10214.17,1,10214.17,17.42,459721.60,2
2024-08-01,BPAY,ATM,7840.05,2,3920.02,13.37,459721.60,3
2024-08-01,BPAY,Internet Banking,7754.73,1,7754.73,13.23,459721.60,4
2024-08-01,BPAY,Branch,2988.50,1,2988.50,5.10,459721.60,5
2024-09-01,BPAY,Mobile App,19891.81,2,9945.90,68.09,488936.56,1
2024-09-01,BPAY,ATM,5014.68,1,5014.68,17.16,488936.56,2
2024-09-01,BPAY,Internet Banking,4308.47,1,4308.47,14.75,488936.56,3
2024-10-01,BPAY,Branch,40596.48,4,10149.12,57.09,560042.12,1
2024-10-01,BPAY,Mobile App,26940.14,2,13470.07,37.89,560042.12,2
2024-10-01,BPAY,ATM,3568.94,1,3568.94,5.02,560042.12,3
2024-11-01,BPAY,Mobile App,19215.79,2,9607.90,53.15,596198.78,1
2024-11-01,BPAY,Internet Banking,11631.19,1,11631.19,32.17,596198.78,2
2024-11-01,BPAY,Branch,5309.68,1,5309.68,14.69,596198.78,3
2024-12-01,BPAY,ATM,24578.38,3,8192.79,46.31,649269.66,1
2024-12-01,BPAY,Internet Banking,15580.64,2,7790.32,29.36,649269.66,2
2024-12-01,BPAY,Branch,9649.13,1,9649.13,18.18,649269.66,3
2024-12-01,BPAY,EFTPOS,3262.73,1,3262.73,6.15,649269.66,4
2024-01-01,Direct Debit,EFTPOS,25192.36,3,8397.45,39.60,63617.75,1
2024-01-01,Direct Debit,Branch,14815.11,2,7407.56,23.29,63617.75,2
2024-01-01,Direct Debit,ATM,12364.79,2,6182.40,19.44,63617.75,3
2024-01-01,Direct Debit,Internet Banking,11245.49,1,11245.49,17.68,63617.75,4
2024-02-01,Direct Debit,Mobile App,22797.33,2,11398.67,55.18,104935.32,1
2024-02-01,Direct Debit,Branch,12759.06,1,12759.06,30.88,104935.32,2
2024-02-01,Direct Debit,ATM,5761.18,1,5761.18,13.94,104935.32,3
2024-03-01,Direct Debit,Mobile App,18382.43,2,9191.21,46.83,144187.67,1
2024-03-01,Direct Debit,Branch,12857.73,2,6428.86,32.76,144187.67,2
2024-03-01,Direct Debit,EFTPOS,8012.19,1,8012.19,20.41,144187.67,3
2024-04-01,Direct Debit,Internet Banking,25420.22,3,8473.41,46.07,199360.14,1
2024-04-01,Direct Debit,Mobile App,18570.04,2,9285.02,33.66,199360.14,2
2024-04-01,Direct Debit,EFTPOS,6156.39,1,6156.39,11.16,199360.14,3
2024-04-01,Direct Debit,Branch,3009.91,1,3009.91,5.46,199360.14,4
2024-04-01,Direct Debit,ATM,2015.91,1,2015.91,3.65,199360.14,5
2024-05-01,Direct Debit,Branch,35362.69,4,8840.67,34.03,303279.17,1
2024-05-01,Direct Debit,Internet Banking,32098.95,4,8024.74,30.89,303279.17,2
2024-05-01,Direct Debit,ATM,19116.40,2,9558.20,18.40,303279.17,3
2024-05-01,Direct Debit,EFTPOS,15837.58,4,3959.40,15.24,303279.17,4
2024-05-01,Direct Debit,Mobile App,1503.41,1,1503.41,1.45,303279.17,5
2024-06-01,Direct Debit,ATM,10874.35,2,5437.17,32.56,336681.11,1
2024-06-01,Direct Debit,Mobile App,9098.70,1,9098.70,27.24,336681.11,2
2024-06-01,Direct Debit,Branch,5489.13,2,2744.57,16.43,336681.11,3
2024-06-01,Direct Debit,Internet Banking,4767.43,1,4767.43,14.27,336681.11,4
2024-06-01,Direct Debit,EFTPOS,3172.33,1,3172.33,9.50,336681.11,5
2024-07-01,Direct Debit,Internet Banking,22899.22,3,7633.07,36.94,398674.74,1
2024-07-01,Direct Debit,Mobile App,22884.95,4,5721.24,36.92,398674.74,2
2024-07-01,Direct Debit,ATM,9141.08,2,4570.54,14.75,398674.74,3
2024-07-01,Direct Debit,EFTPOS,7068.38,1,7068.38,11.40,398674.74,4
2024-08-01,Direct Debit,Mobile App,14188.04,2,7094.02,40.49,433718.92,1
2024-08-01,Direct Debit,ATM,13358.47,1,13358.47,38.12,433718.92,2
2024-08-01,Direct Debit,Branch,7497.67,1,7497.67,21.39,433718.92,3
2024-09-01,Direct Debit,Mobile App,13132.94,1,13132.94,52.86,458562.98,1
2024-09-01,Direct Debit,Branch,11609.23,2,5804.62,46.73,458562.98,2
2024-09-01,Direct Debit,Internet Banking,101.89,1,101.89,0.41,458562.98,3
2024-10-01,Direct Debit,EFTPOS,32390.72,4,8097.68,32.66,557749.17,1
2024-10-01,Direct Debit,Branch,27006.56,3,9002.19,27.23,557749.17,2
2024-10-01,Direct Debit,Mobile App,20766.00,2,10383.00,20.94,557749.17,3
2024-10-01,Direct Debit,ATM,11629.81,3,3876.60,11.73,557749.17,4
2024-10-01,Direct Debit,Internet Banking,7393.10,1,7393.10,7.45,557749.17,5
2024-11-01,Direct Debit,ATM,16007.17,2,8003.58,36.59,601494.79,1
2024-11-01,Direct Debit,Mobile App,15481.36,2,7740.68,35.39,601494.79,2
2024-11-01,Direct Debit,Branch,6815.72,1,6815.72,15.58,601494.79,3
2024-11-01,Direct Debit,EFTPOS,2763.73,2,1381.86,6.32,601494.79,4
2024-11-01,Direct Debit,Internet Banking,2677.64,1,2677.64,6.12,601494.79,5
2024-12-01,Direct Debit,ATM,23428.41,3,7809.47,35.96,666643.19,1
2024-12-01,Direct Debit,Internet Banking,19893.22,3,6631.07,30.54,666643.19,2
2024-12-01,Direct Debit,Mobile App,10925.18,1,10925.18,16.77,666643.19,3
2024-12-01,Direct Debit,EFTPOS,10901.59,1,10901.59,16.73,666643.19,4
2024-01-01,PayID,Branch,24805.95,4,6201.49,32.79,75647.04,1
2024-01-01,PayID,ATM,17636.20,2,8818.10,23.31,75647.04,2
2024-01-01,PayID,Mobile App,17291.75,3,5763.92,22.86,75647.04,3
2024-01-01,PayID,Internet Banking,14632.63,3,4877.54,19.34,75647.04,4
2024-01-01,PayID,EFTPOS,1280.51,1,1280.51,1.69,75647.04,5
2024-02-01,PayID,EFTPOS,10229.44,1,10229.44,100.00,85876.48,1
2024-03-01,PayID,Branch,49449.15,4,12362.29,49.01,186769.69,1
2024-03-01,PayID,Internet Banking,19288.08,3,6429.36,19.12,186769.69,2
2024-03-01,PayID,Mobile App,16636.24,2,8318.12,16.49,186769.69,3
2024-03-01,PayID,ATM,12793.04,2,6396.52,12.68,186769.69,4
2024-03-01,PayID,EFTPOS,2726.70,1,2726.70,2.70,186769.69,5
2024-04-01,PayID,Internet Banking,26883.82,5,5376.76,45.68,245617.32,1
2024-04-01,PayID,EFTPOS,20897.44,2,10448.72,35.51,245617.32,2
2024-04-01,PayID,Branch,6275.33,3,2091.78,10.66,245617.32,3
2024-04-01,PayID,Mobile App,3235.01,1,3235.01,5.50,245617.32,4
2024-04-01,PayID,ATM,1556.03,1,1556.03,2.64,245617.32,5
2024-05-01,PayID,Mobile App,39468.48,3,13156.16,37.88,349806.28,1
2024-05-01,PayID,Branch,28635.61,4,7158.90,27.48,349806.28,2
2024-05-01,PayID,Internet Banking,21133.34,3,7044.45,20.28,349806.28,3
2024-05-01,PayID,ATM,14951.53,1,14951.53,14.35,349806.28,4
2024-06-01,PayID,EFTPOS,24550.18,3,8183.39,40.05,411104.65,1
2024-06-01,PayID,Internet Banking,14377.70,3,4792.57,23.46,411104.65,2
2024-06-01,PayID,ATM,12858.52,3,4286.17,20.98,411104.65,3
2024-06-01,PayID,Mobile App,9511.97,1,9511.97,15.52,411104.65,4
2024-07-01,PayID,EFTPOS,24336.26,2,12168.13,65.59,448207.10,1
2024-07-01,PayID,ATM,6689.02,2,3344.51,18.03,448207.10,2
2024-07-01,PayID,Branch,4139.97,1,4139.97,11.16,448207.10,3
2024-07-01,PayID,Mobile App,1937.20,1,1937.20,5.22,448207.10,4
2024-08-01,PayID,ATM,33759.98,3,11253.33,46.33,521075.39,1
2024-08-01,PayID,Mobile App,23396.46,2,11698.23,32.11,521075.39,2
2024-08-01,PayID,Internet Banking,11692.08,2,5846.04,16.05,521075.39,3
2024-08-01,PayID,EFTPOS,4019.77,1,4019.77,5.52,521075.39,4
2024-09-01,PayID,Branch,29226.74,2,14613.37,65.80,565491.35,1
2024-09-01,PayID,Internet Banking,7514.81,1,7514.81,16.92,565491.35,2
2024-09-01,PayID,Mobile App,5919.71,1,5919.71,13.33,565491.35,3
2024-09-01,PayID,EFTPOS,1754.70,1,1754.70,3.95,565491.35,4
2024-10-01,PayID,EFTPOS,19444.85,2,9722.43,32.13,626014.30,1
2024-10-01,PayID,Mobile App,17235.98,2,8617.99,28.48,626014.30,2
2024-10-01,PayID,ATM,14023.26,1,14023.26,23.17,626014.30,3
2024-10-01,PayID,Branch,7909.65,1,7909.65,13.07,626014.30,4
2024-10-01,PayID,Internet Banking,1909.21,1,1909.21,3.15,626014.30,5
2024-11-01,PayID,EFTPOS,20820.91,2,10410.46,31.63,691847.40,1
2024-11-01,PayID,Branch,14536.02,1,14536.02,22.08,691847.40,2
2024-11-01,PayID,ATM,13157.75,3,4385.92,19.99,691847.40,3
2024-11-01,PayID,Internet Banking,12809.19,2,6404.59,19.46,691847.40,4
2024-11-01,PayID,Mobile App,4509.23,1,4509.23,6.85,691847.40,5
2024-12-01,PayID,ATM,35201.19,3,11733.73,45.11,769885.31,1
2024-12-01,PayID,EFTPOS,18858.87,2,9429.43,24.17,769885.31,2
2024-12-01,PayID,Mobile App,15962.88,2,7981.44,20.46,769885.31,3
2024-12-01,PayID,Internet Banking,8014.97,2,4007.49,10.27,769885.31,4
2024-01-01,Purchase,Branch,39498.93,3,13166.31,77.70,50836.06,1
2024-01-01,Purchase,ATM,10502.58,2,5251.29,20.66,50836.06,2
2024-01-01,Purchase,Internet Banking,659.53,1,659.53,1.30,50836.06,3
2024-01-01,Purchase,Mobile App,175.02,1,175.02,0.34,50836.06,4
2024-02-01,Purchase,ATM,21791.22,3,7263.74,41.62,103190.24,1
2024-02-01,Purchase,Mobile App,16440.49,2,8220.25,31.40,103190.24,2
2024-02-01,Purchase,Internet Banking,14122.47,2,7061.24,26.97,103190.24,3
2024-03-01,Purchase,Branch,27021.24,3,9007.08,49.07,158256.68,1
2024-03-01,Purchase,ATM,10591.34,1,10591.34,19.23,158256.68,2
2024-03-01,Purchase,Mobile App,6212.48,2,3106.24,11.28,158256.68,3
2024-03-01,Purchase,Internet Banking,5702.28,2,2851.14,10.36,158256.68,4
2024-03-01,Purchase,EFTPOS,5539.10,1,5539.10,10.06,158256.68,5
2024-04-01,Purchase,Branch,20617.97,3,6872.66,35.21,216817.43,1
2024-04-01,Purchase,Internet Banking,17059.92,4,4264.98,29.13,216817.43,2
2024-04-01,Purchase,Mobile App,12423.70,1,12423.70,21.22,216817.43,3
2024-04-01,Purchase,EFTPOS,8459.16,1,8459.16,14.45,216817.43,4
2024-05-01,Purchase,Internet Banking,21494.79,3,7164.93,41.44,268683.72,1
2024-05-01,Purchase,EFTPOS,21422.19,2,10711.09,41.30,268683.72,2
2024-05-01,Purchase,Branch,4157.90,1,4157.90,8.02,268683.72,3
2024-05-01,Purchase,ATM,3760.82,1,3760.82,7.25,268683.72,4
2024-05-01,Purchase,Mobile App,1030.59,1,1030.59,1.99,268683.72,5
2024-06-01,Purchase,Mobile App,21932.48,3,7310.83,32.54,336083.15,1
2024-06-01,Purchase,EFTPOS,14347.88,1,14347.88,21.29,336083.15,2
2024-06-01,Purchase,Internet Banking,14268.67,2,7134.33,21.17,336083.15,3
2024-06-01,Purchase,Branch,12718.80,2,6359.40,18.87,336083.15,4
2024-06-01,Purchase,ATM,4131.60,1,4131.60,6.13,336083.15,5
2024-07-01,Purchase,Internet Banking,46381.64,5,9276.33,50.28,428332.24,1
2024-07-01,Purchase,Branch,15728.34,2,7864.17,17.05,428332.24,2
2024-07-01,Purchase,EFTPOS,14396.55,1,14396.55,15.61,428332.24,3
2024-07-01,Purchase,ATM,12152.71,2,6076.35,13.17,428332.24,4
2024-07-01,Purchase,Mobile App,3589.85,1,3589.85,3.89,428332.24,5
2024-08-01,Purchase,Branch,14364.28,1,14364.28,33.94,470655.15,1
2024-08-01,Purchase,ATM,10558.83,1,10558.83,24.95,470655.15,2
2024-08-01,Purchase,Internet Banking,8893.64,2,4446.82,21.01,470655.15,3
2024-08-01,Purchase,Mobile App,8506.16,2,4253.08,20.10,470655.15,4
2024-09-01,Purchase,Mobile App,34464.97,4,8616.24,44.20,548624.48,1
2024-09-01,Purchase,Branch,13457.11,1,13457.11,17.26,548624.48,2
2024-09-01,Purchase,ATM,11479.05,4,2869.76,14.72,548624.48,3
2024-09-01,Purchase,EFTPOS,10762.63,2,5381.32,13.80,548624.48,4
2024-09-01,Purchase,Internet Banking,7805.57,2,3902.78,10.01,548624.48,5
2024-10-01,Purchase,Branch,12964.66,1,12964.66,37.98,582759.19,1
2024-10-01,Purchase,EFTPOS,12506.68,3,4168.89,36.64,582759.19,2
2024-10-01,Purchase,ATM,7704.27,3,2568.09,22.57,582759.19,3
2024-10-01,Purchase,Internet Banking,959.10,1,959.10,2.81,582759.19,4
2024-11-01,Purchase,Internet Banking,36918.36,5,7383.67,37.39,681486.96,1
2024-11-01,Purchase,EFTPOS,23476.80,2,11738.40,23.78,681486.96,2
2024-11-01,Purchase,ATM,13703.72,3,4567.91,13.88,681486.96,3
2024-11-01,Purchase,Branch,12717.02,1,12717.02,12.88,681486.96,4
2024-11-01,Purchase,Mobile App,11911.87,1,11911.87,12.07,681486.96,5
2024-12-01,Purchase,ATM,26692.64,3,8897.55,41.95,745112.77,1
2024-12-01,Purchase,Mobile App,20456.79,3,6818.93,32.15,745112.77,2
2024-12-01,Purchase,Internet Banking,15425.76,2,7712.88,24.24,745112.77,3
2024-12-01,Purchase,EFTPOS,1050.62,1,1050.62,1.65,745112.77,4
2024-01-01,Refund,EFTPOS,18288.20,2,9144.10,46.53,39305.54,1
2024-01-01,Refund,ATM,15215.46,2,7607.73,38.71,39305.54,2
2024-01-01,Refund,Mobile App,5801.88,1,5801.88,14.76,39305.54,3
2024-02-01,Refund,ATM,11637.97,1,11637.97,35.24,72326.70,1
2024-02-01,Refund,Branch,8272.74,1,8272.74,25.05,72326.70,2
2024-02-01,Refund,EFTPOS,7153.72,1,7153.72,21.66,72326.70,3
2024-02-01,Refund,Internet Banking,5956.73,1,5956.73,18.04,72326.70,4
2024-03-01,Refund,Mobile App,13305.81,1,13305.81,36.24,109039.38,1
2024-03-01,Refund,Internet Banking,8281.31,1,8281.31,22.56,109039.38,2
2024-03-01,Refund,ATM,7932.19,2,3966.09,21.61,109039.38,3
2024-03-01,Refund,EFTPOS,7193.37,1,7193.37,19.59,109039.38,4
2024-04-01,Refund,EFTPOS,22347.14,2,11173.57,38.80,166637.67,1
2024-04-01,Refund,Mobile App,15487.14,2,7743.57,26.89,166637.67,2
2024-04-01,Refund,ATM,13966.10,1,13966.10,24.25,166637.67,3
2024-04-01,Refund,Internet Banking,5797.91,2,2898.95,10.07,166637.67,4
2024-05-01,Refund,EFTPOS,22627.02,3,7542.34,47.59,214185.18,1
2024-05-01,Refund,ATM,18435.82,2,9217.91,38.77,214185.18,2
2024-05-01,Refund,Mobile App,6484.67,2,3242.33,13.64,214185.18,3
2024-06-01,Refund,EFTPOS,24441.53,2,12220.76,40.93,273907.70,1
2024-06-01,Refund,ATM,17090.24,2,8545.12,28.62,273907.70,2
2024-06-01,Refund,Mobile App,12986.27,1,12986.27,21.74,273907.70,3
2024-06-01,Refund,Internet Banking,5204.48,1,5204.48,8.71,273907.70,4
2024-07-01,Refund,Internet Banking,20643.41,4,5160.85,55.16,311331.24,1
2024-07-01,Refund,EFTPOS,9271.75,1,9271.75,24.78,311331.24,2
2024-07-01,Refund,ATM,5202.38,1,5202.38,13.90,311331.24,3
2024-07-01,Refund,Branch,2306.00,1,2306.00,6.16,311331.24,4
2024-08-01,Refund,EFTPOS,10819.05,1,10819.05,63.59,328344.90,1
2024-08-01,Refund,Mobile App,6194.61,1,6194.61,36.41,328344.90,2
2024-09-01,Refund,Internet Banking,21404.87,2,10702.44,31.96,395312.78,1
2024-09-01,Refund,EFTPOS,14740.46,1,14740.46,22.01,395312.78,2
2024-09-01,Refund,Branch,13488.32,1,13488.32,20.14,395312.78,3
2024-09-01,Refund,Mobile App,12791.53,2,6395.77,19.10,395312.78,4
2024-09-01,Refund,ATM,4542.70,1,4542.70,6.78,395312.78,5
2024-10-01,Refund,Branch,26680.25,4,6670.06,54.20,444533.92,1
2024-10-01,Refund,ATM,10875.10,1,10875.10,22.09,444533.92,2
2024-10-01,Refund,Internet Banking,10579.12,1,10579.12,21.49,444533.92,3
2024-10-01,Refund,EFTPOS,1086.67,2,543.34,2.21,444533.92,4
2024-11-01,Refund,Mobile App,22487.59,3,7495.86,35.05,508687.07,1
2024-11-01,Refund,Internet Banking,16391.40,2,8195.70,25.55,508687.07,2
2024-11-01,Refund,ATM,12104.08,1,12104.08,18.87,508687.07,3
2024-11-01,Refund,Branch,8706.27,2,4353.14,13.57,508687.07,4
2024-11-01,Refund,EFTPOS,4463.81,1,4463.81,6.96,508687.07,5
2024-12-01,Refund,Internet Banking,23828.25,2,11914.13,38.29,570923.06,1
2024-12-01,Refund,ATM,22256.58,3,7418.86,35.76,570923.06,2
2024-12-01,Refund,Mobile App,13088.31,3,4362.77,21.03,570923.06,3
2024-12-01,Refund,EFTPOS,3062.85,2,1531.42,4.92,570923.06,4
2024-01-01,Transfer,Internet Banking,60169.87,6,10028.31,57.89,103944.52,1
2024-01-01,Transfer,Mobile App,32501.78,4,8125.44,31.27,103944.52,2
2024-01-01,Transfer,ATM,10612.83,1,10612.83,10.21,103944.52,3
2024-01-01,Transfer,Branch,660.04,1,660.04,0.63,103944.52,4
2024-02-01,Transfer,Mobile App,12750.11,1,12750.11,76.32,120650.41,1
2024-02-01,Transfer,Internet Banking,3955.78,1,3955.78,23.68,120650.41,2
2024-03-01,Transfer,ATM,20404.06,3,6801.35,32.81,182846.01,1
2024-03-01,Transfer,EFTPOS,20085.28,2,10042.64,32.29,182846.01,2
2024-03-01,Transfer,Mobile App,19307.47,2,9653.73,31.04,182846.01,3
2024-03-01,Transfer,Branch,2398.79,1,2398.79,3.86,182846.01,4
2024-04-01,Transfer,Internet Banking,21288.08,3,7096.03,37.94,238962.88,1
2024-04-01,Transfer,Branch,15350.68,2,7675.34,27.35,238962.88,2
2024-04-01,Transfer,ATM,12998.41,1,12998.41,23.16,238962.88,3
2024-04-01,Transfer,Mobile App,6479.70,1,6479.70,11.55,238962.88,4
2024-05-01,Transfer,Mobile App,42729.16,5,8545.83,63.13,306642.37,1
2024-05-01,Transfer,EFTPOS,14654.75,1,14654.75,21.65,306642.37,2
2024-05-01,Transfer,Branch,6993.70,2,3496.85,10.33,306642.37,3
2024-05-01,Transfer,Internet Banking,2973.65,2,1486.83,4.39,306642.37,4
2024-05-01,Transfer,ATM,328.23,1,328.23,0.48,306642.37,5
2024-06-01,Transfer,Mobile App,26113.00,2,13056.50,35.76,379667.62,1
2024-06-01,Transfer,EFTPOS,18484.15,3,6161.38,25.31,379667.62,2
2024-06-01,Transfer,Internet Banking,10863.58,1,10863.58,14.88,379667.62,3
2024-06-01,Transfer,Branch,9781.73,1,9781.73,13.39,379667.62,4
2024-06-01,Transfer,ATM,7782.79,1,7782.79,10.66,379667.62,5
2024-07-01,Transfer,EFTPOS,27896.36,3,9298.79,66.09,421879.04,1
2024-07-01,Transfer,Internet Banking,10929.91,1,10929.91,25.89,421879.04,2
2024-07-01,Transfer,Mobile App,3385.15,1,3385.15,8.02,421879.04,3
2024-08-01,Transfer,ATM,30550.19,3,10183.40,36.95,504550.19,1
2024-08-01,Transfer,Internet Banking,28696.42,2,14348.21,34.71,504550.19,2
2024-08-01,Transfer,Branch,17404.04,3,5801.35,21.05,504550.19,3
2024-08-01,Transfer,Mobile App,6020.50,1,6020.50,7.28,504550.19,4
2024-09-01,Transfer,EFTPOS,20346.92,4,5086.73,29.64,573198.85,1
2024-09-01,Transfer,Mobile App,19547.87,3,6515.96,28.48,573198.85,2
2024-09-01,Transfer,Internet Banking,13102.71,1,13102.71,19.09,573198.85,3
2024-09-01,Transfer,ATM,9749.56,2,4874.78,14.20,573198.85,4
2024-09-01,Transfer,Branch,5901.60,1,5901.60,8.60,573198.85,5
2024-10-01,Transfer,Mobile App,28333.37,3,9444.46,57.82,622201.21,1
2024-10-01,Transfer,Branch,11502.09,1,11502.09,23.47,622201.21,2
2024-10-01,Transfer,Internet Banking,9166.90,1,9166.90,18.71,622201.21,3
2024-11-01,Transfer,ATM,14244.20,2,7122.10,41.73,656338.27,1
2024-11-01,Transfer,Internet Banking,9875.32,1,9875.32,28.93,656338.27,2
2024-11-01,Transfer,Mobile App,9007.27,2,4503.63,26.39,656338.27,3
2024-11-01,Transfer,Branch,1010.27,1,1010.27,2.96,656338.27,4
2024-12-01,Transfer,Internet Banking,28193.87,4,7048.47,38.68,729225.13,1
2024-12-01,Transfer,EFTPOS,25471.88,3,8490.63,34.95,729225.13,2
2024-12-01,Transfer,Branch,13557.08,1,13557.08,18.60,729225.13,3
2024-12-01,Transfer,ATM,5664.03,1,5664.03,7.77,729225.13,4
