monthly_transaction_2024,transaction_type,channel,total_transaction,number_of_transactions,avg_transaction,percentage_per_channel,running_total,row_num
2024-02-01,Direct Debit,Mobile App,22797.33,2,11398.67,55.1758731212895627,603025.44,3
2024-03-01,Direct Debit,EFTPOS,8012.19,1,8012.19,20.4120008101425774,561707.87,1
2024-03-01,Direct Debit,Branch,12857.73,2,6428.86,32.7565865483213106,561707.87,2
2024-03-01,Direct Debit,Mobile App,18382.43,2,9191.21,46.8314126415361118,561707.87,3
2024-04-01,Direct Debit,ATM,2015.91,1,2015.91,3.6538331526574757,522455.52,1
2024-04-01,Direct Debit,Branch,3009.91,1,3009.91,5.4554563172538767,522455.52,2
2024-04-01,Direct Debit,EFTPOS,6156.39,1,6156.39,11.1584455073336394,522455.52,3
2024-04-01,Direct Debit,Mobile App,18570.04,2,9285.02,33.6581632107462290,522455.52,4
2024-04-01,Direct Debit,Internet Banking,25420.22,3,8473.41,46.0741018120087790,522455.52,5
2024-05-01,Direct Debit,Mobile App,1503.41,1,1503.41,1.4467128879089806,467283.05,1
2024-05-01,Direct Debit,EFTPOS,15837.58,4,3959.40,15.2403077665370818,467283.05,2
2024-05-01,Direct Debit,ATM,19116.40,2,9558.20,18.3954757853301748,467283.05,3
2024-05-01,Direct Debit,Internet Banking,32098.95,4,8024.74,30.8884234196566307,467283.05,4
2024-05-01,Direct Debit,Branch,35362.69,4,8840.67,34.0290801405671319,467283.05,5
2024-06-01,Direct Debit,EFTPOS,3172.33,1,3172.33,9.4974423641261555,363364.02,1
2024-06-01,Direct Debit,Internet Banking,4767.43,1,4767.43,14.2729134894560016,363364.02,2
2024-06-01,Direct Debit,Branch,5489.13,2,2744.57,16.4335664335664335,363364.02,3
2024-06-01,Direct Debit,Mobile App,9098.70,1,9098.70,27.2400345608668239,363364.02,4
2024-06-01,Direct Debit,ATM,10874.35,2,5437.17,32.5560431519845853,363364.02,5
2024-07-01,Direct Debit,EFTPOS,7068.38,1,7068.38,11.4017843446173421,329962.08,1
2024-07-01,Direct Debit,ATM,9141.08,2,4570.54,14.7451923689579074,329962.08,2
2024-07-01,Direct Debit,Mobile App,22884.95,4,5721.24,36.9150023962139335,329962.08,3
2024-07-01,Direct Debit,Internet Banking,22899.22,3,7633.07,36.9380208902108168,329962.08,4
2024-08-01,Direct Debit,Branch,7497.67,1,7497.67,21.3949077992408439,267968.45,1
2024-08-01,Direct Debit,ATM,13358.47,1,13358.47,38.1189401492630159,267968.45,2
2024-08-01,Direct Debit,Mobile App,14188.04,2,7094.02,40.4861520514961400,267968.45,3
2024-09-01,Direct Debit,Internet Banking,101.89,1,101.89,0.4101181529910972,232924.27,1
2024-09-01,Direct Debit,Branch,11609.23,2,5804.62,46.7283930243285517,232924.27,2
2024-09-01,Direct Debit,Mobile App,13132.94,1,13132.94,52.8614888226803509,232924.27,3
2024-10-01,Direct Debit,Internet Banking,7393.10,1,7393.10,7.4537594396961915,208080.21,1
2024-10-01,Direct Debit,ATM,11629.81,3,3876.60,11.7252311032412879,208080.21,2
2024-10-01,Direct Debit,Mobile App,20766.00,2,10383.00,20.9363823733929088,208080.21,3
2024-10-01,Direct Debit,Branch,27006.56,3,9002.19,27.2281453698342480,208080.21,4
2024-10-01,Direct Debit,EFTPOS,32390.72,4,8097.68,32.6564817138353635,208080.21,5
2024-11-01,Direct Debit,Internet Banking,2677.64,1,2677.64,6.1209327928144577,108894.02,1
2024-11-01,Direct Debit,EFTPOS,2763.73,2,1381.86,6.3177296378471718,108894.02,2
2024-11-01,Direct Debit,Branch,6815.72,1,6815.72,15.5803483868785034,108894.02,3
2024-11-01,Direct Debit,Mobile App,15481.36,2,7740.68,35.3895087096719625,108894.02,4
2024-11-01,Direct Debit,ATM,16007.17,2,8003.58,36.5914804727879042,108894.02,5
2024-12-01,Direct Debit,EFTPOS,10901.59,1,10901.59,16.7334731167611176,65148.40,1
2024-12-01,Direct Debit,Mobile App,10925.18,1,10925.18,16.7696827550638235,65148.40,2
2024-12-01,Direct Debit,Internet Banking,19893.22,3,6631.07,30.5352395454071013,65148.40,3
2024-12-01,Direct Debit,ATM,23428.41,3,7809.47,35.9616045827679574,65148.40,4
2024-01-01,PayID,EFTPOS,1280.51,1,1280.51,1.6927430339640519,769885.31,1
2024-01-01,PayID,Internet Banking,14632.63,3,4877.54,19.3432948599178500,769885.31,2
2024-01-01,PayID,Mobile App,17291.75,3,5763.92,22.8584621420745610,769885.31,3
2024-01-01,PayID,ATM,17636.20,2,8818.10,23.3138005135428960,769885.31,4
2024-01-01,PayID,Branch,24805.95,4,6201.49,32.7916994505006408,769885.31,5
2024-02-01,PayID,EFTPOS,10229.44,1,10229.44,100.0000000000000000,694238.27,1
2024-03-01,PayID,EFTPOS,2726.70,1,2726.70,2.7025604597177550,684008.83,1
2024-03-01,PayID,ATM,12793.04,2,6396.52,12.6797829110601199,684008.83,2
2024-03-01,PayID,Mobile App,16636.24,2,8318.12,16.4889589695877453,684008.83,3
2024-03-01,PayID,Internet Banking,19288.08,3,6429.36,19.1173221666750418,684008.83,4
2024-03-01,PayID,Branch,49449.15,4,12362.29,49.0113754929593378,684008.83,5
2024-04-01,PayID,ATM,1556.03,1,1556.03,2.6441676580688126,583115.62,1
2024-04-01,PayID,Mobile App,3235.01,1,3235.01,5.4972647156733414,583115.62,2
2024-04-01,PayID,Branch,6275.33,3,2091.78,10.6636919787593824,583115.62,3
2024-04-01,PayID,EFTPOS,20897.44,2,10448.72,35.5110987477320666,583115.62,4
2024-04-01,PayID,Internet Banking,26883.82,5,5376.76,45.6837768997663967,583115.62,5
2024-05-01,PayID,ATM,14951.53,1,14951.53,14.3503975853103822,524267.99,1
2024-05-01,PayID,Internet Banking,21133.34,3,7044.45,20.2836653710719446,524267.99,2
2024-05-01,PayID,Branch,28635.61,4,7158.90,27.4843035192980139,524267.99,3
2024-05-01,PayID,Mobile App,39468.48,3,13156.16,37.8816335243196592,524267.99,4
2024-06-01,PayID,Mobile App,9511.97,1,9511.97,15.5174925532277611,420079.03,1
2024-06-01,PayID,ATM,12858.52,3,4286.17,20.9769362545855623,420079.03,2
2024-06-01,PayID,Internet Banking,14377.70,3,4792.57,23.4552729542400556,420079.03,3
2024-06-01,PayID,EFTPOS,24550.18,3,8183.39,40.0502982379466207,420079.03,4
2024-07-01,PayID,Mobile App,1937.20,1,1937.20,5.2212185448669831,358780.66,1
2024-07-01,PayID,Branch,4139.97,1,4139.97,11.1582119240104090,358780.66,2
2024-07-01,PayID,ATM,6689.02,2,3344.51,18.0285129418677203,358780.66,3
2024-07-01,PayID,EFTPOS,24336.26,2,12168.13,65.5920565892548874,358780.66,4
2024-08-01,PayID,EFTPOS,4019.77,1,4019.77,5.5164873499844719,321678.21,1
2024-08-01,PayID,Internet Banking,11692.08,2,5846.04,16.0454979799855328,321678.21,2
2024-08-01,PayID,Mobile App,23396.46,2,11698.23,32.1078757303073806,321678.21,3
2024-08-01,PayID,ATM,33759.98,3,11253.33,46.3301389397226145,321678.21,4
2024-09-01,PayID,EFTPOS,1754.70,1,1754.70,3.9506069439904034,248809.92,1
2024-09-01,PayID,Mobile App,5919.71,1,5919.71,13.3278893442807495,248809.92,2
2024-09-01,PayID,Internet Banking,7514.81,1,7514.81,16.9191659934852246,248809.92,3
2024-09-01,PayID,Branch,29226.74,2,14613.37,65.8023377182436223,248809.92,4
2024-10-01,PayID,Internet Banking,1909.21,1,1909.21,3.1545223753964405,204393.96,1
2024-10-01,PayID,Branch,7909.65,1,7909.65,13.0688441326802477,204393.96,2
2024-10-01,PayID,ATM,14023.26,1,14023.26,23.1701528098019015,204393.96,3
2024-10-01,PayID,Mobile App,17235.98,2,8617.99,28.4784201695389930,204393.96,4
2024-10-01,PayID,EFTPOS,19444.85,2,9722.43,32.1280605125824170,204393.96,5
2024-11-01,PayID,Mobile App,4509.23,1,4509.23,6.8494875678040377,143871.01,1
2024-11-01,PayID,Internet Banking,12809.19,2,6404.59,19.4570664301088662,143871.01,2
2024-11-01,PayID,ATM,13157.75,3,4385.92,19.9865265345244261,143871.01,3
2024-11-01,PayID,Branch,14536.02,1,14536.02,22.0801086383597308,143871.01,4
2024-11-01,PayID,EFTPOS,20820.91,2,10410.46,31.6268108292029389,143871.01,5
2024-12-01,PayID,Internet Banking,8014.97,2,4007.49,10.2706107839125881,78037.91,1
2024-12-01,PayID,Mobile App,15962.88,2,7981.44,20.4552889742946729,78037.91,2
2024-12-01,PayID,EFTPOS,18858.87,2,9429.43,24.1662930234805109,78037.91,3
2024-12-01,PayID,ATM,35201.19,3,11733.73,45.1078072183122279,78037.91,4
2024-01-01,Purchase,Mobile App,175.02,1,175.02,0.3442831722206638,745112.77,1
2024-01-01,Purchase,Internet Banking,659.53,1,659.53,1.2973664756867467,745112.77,2
2024-01-01,Purchase,ATM,10502.58,2,5251.29,20.6597049417283715,745112.77,3
2024-01-01,Purchase,Branch,39498.93,3,13166.31,77.6986454103642178,745112.77,4
2024-02-01,Purchase,Internet Banking,14122.47,2,7061.24,26.9748661902449813,694276.71,1
2024-02-01,Purchase,Mobile App,16440.49,2,8220.25,31.4024400725978326,694276.71,2
2024-02-01,Purchase,ATM,21791.22,3,7263.74,41.6226937371571859,694276.71,3
2024-03-01,Purchase,EFTPOS,5539.10,1,5539.10,10.0589397099213241,641922.53,1
2024-03-01,Purchase,Internet Banking,5702.28,2,2851.14,10.3552726488220411,641922.53,2
2024-03-01,Purchase,Mobile App,6212.48,2,3106.24,11.2817897797642266,641922.53,3
2024-03-01,Purchase,ATM,10591.34,1,10591.34,19.2337474512606952,641922.53,4
2024-03-01,Purchase,Branch,27021.24,3,9007.08,49.0702504102317128,641922.53,5
2024-04-01,Purchase,EFTPOS,8459.16,1,8459.16,14.4451018813795929,586856.09,1
2024-04-01,Purchase,Mobile App,12423.70,1,12423.70,21.2150629901427150,586856.09,2
2024-04-01,Purchase,Internet Banking,17059.92,4,4264.98,29.1320039446216108,586856.09,3
2024-04-01,Purchase,Branch,20617.97,3,6872.66,35.2078311838560810,586856.09,4
2024-05-01,Purchase,Mobile App,1030.59,1,1030.59,1.9870131447612697,528295.34,1
2024-05-01,Purchase,ATM,3760.82,1,3760.82,7.2509909615667517,528295.34,2
2024-05-01,Purchase,Branch,4157.90,1,4157.90,8.0165749275685613,528295.34,3
2024-05-01,Purchase,EFTPOS,21422.19,2,10711.09,41.3027228282570432,528295.34,4
2024-05-01,Purchase,Internet Banking,21494.79,3,7164.93,41.4426981378463738,528295.34,5
2024-06-01,Purchase,ATM,4131.60,1,4131.60,6.1300221678432592,476429.05,1
2024-06-01,Purchase,Branch,12718.80,2,6359.40,18.8707827351062167,476429.05,2
2024-06-01,Purchase,Internet Banking,14268.67,2,7134.33,21.1703125679252777,476429.05,3
2024-06-01,Purchase,EFTPOS,14347.88,1,14347.88,21.2878358170091349,476429.05,4
2024-06-01,Purchase,Mobile App,21932.48,3,7310.83,32.5410467121161113,476429.05,5
2024-07-01,Purchase,Mobile App,3589.85,1,3589.85,3.8914747018100666,409029.62,1
2024-07-01,Purchase,ATM,12152.71,2,6076.35,13.1737993296194032,409029.62,2
2024-07-01,Purchase,EFTPOS,14396.55,1,14396.55,15.6061702072074640,409029.62,3
2024-07-01,Purchase,Branch,15728.34,2,7864.17,17.0498592452239908,409029.62,4
2024-07-01,Purchase,Internet Banking,46381.64,5,9276.33,50.2786965161390751,409029.62,5
2024-08-01,Purchase,Mobile App,8506.16,2,4253.08,20.0982399367151266,316780.53,1
2024-08-01,Purchase,Internet Banking,8893.64,2,4446.82,21.0137724461763144,316780.53,2
2024-08-01,Purchase,ATM,10558.83,1,10558.83,24.9482608828173677,316780.53,3
2024-08-01,Purchase,Branch,14364.28,1,14364.28,33.9397267342911912,316780.53,4
2024-09-01,Purchase,Internet Banking,7805.57,2,3902.78,10.0110774326263929,274457.62,1
2024-09-01,Purchase,EFTPOS,10762.63,2,5381.32,13.8036712640726808,274457.62,2
2024-09-01,Purchase,ATM,11479.05,4,2869.76,14.7225197394924388,274457.62,3
2024-09-01,Purchase,Branch,13457.11,1,13457.11,17.2594916488316623,274457.62,4
2024-09-01,Purchase,Mobile App,34464.97,4,8616.24,44.2032399149768248,274457.62,5
2024-10-01,Purchase,Internet Banking,959.10,1,959.10,2.8097499583268760,196488.29,1
2024-10-01,Purchase,ATM,7704.27,3,2568.09,22.5701932138869789,196488.29,2
2024-10-01,Purchase,EFTPOS,12506.68,3,4168.89,36.6391863296919762,196488.29,3
2024-10-01,Purchase,Branch,12964.66,1,12964.66,37.9808704980941686,196488.29,4
2024-11-01,Purchase,Mobile App,11911.87,1,11911.87,12.0653692471733130,162353.58,1
2024-11-01,Purchase,Branch,12717.02,1,12717.02,12.8808946054387737,162353.58,2
2024-11-01,Purchase,ATM,13703.72,3,4567.91,13.8803094610563978,162353.58,3
2024-11-01,Purchase,EFTPOS,23476.80,2,11738.40,23.7793277413234391,162353.58,4
2024-11-01,Purchase,Internet Banking,36918.36,5,7383.67,37.3940989450080762,162353.58,5
2024-12-01,Purchase,EFTPOS,1050.62,1,1050.62,1.6512481334225843,63625.81,1
2024-12-01,Purchase,Internet Banking,15425.76,2,7712.88,24.2445007772789061,63625.81,2
2024-12-01,Purchase,Mobile App,20456.79,3,6818.93,32.1517164182271314,63625.81,3
2024-12-01,Purchase,ATM,26692.64,3,8897.55,41.9525346710713781,63625.81,4
2024-01-01,Refund,Mobile App,5801.88,1,5801.88,14.7609726262506506,570923.06,1
2024-01-01,Refund,ATM,15215.46,2,7607.73,38.7107262742096915,570923.06,2
2024-01-01,Refund,EFTPOS,18288.20,2,9144.10,46.5283010995396577,570923.06,3
2024-02-01,Refund,Internet Banking,5956.73,1,5956.73,18.0391300608458333,531617.52,1
2024-02-01,Refund,EFTPOS,7153.72,1,7153.72,21.6640481436751464,531617.52,2
2024-02-01,Refund,Branch,8272.74,1,8272.74,25.0528449030863846,531617.52,3
2024-02-01,Refund,ATM,11637.97,1,11637.97,35.2439768923926355,531617.52,4
2024-03-01,Refund,EFTPOS,7193.37,1,7193.37,19.5936935140665296,498596.36,1
2024-03-01,Refund,ATM,7932.19,2,3966.09,21.6061317234263475,498596.36,2
2024-03-01,Refund,Internet Banking,8281.31,1,8281.31,22.5570838195413682,498596.36,3
2024-03-01,Refund,Mobile App,13305.81,1,13305.81,36.2430909429657546,498596.36,4
2024-04-01,Refund,Internet Banking,5797.91,2,2898.95,10.0661148100056442,461883.68,1
2024-04-01,Refund,ATM,13966.10,1,13966.10,24.2474212342067794,461883.68,2
2024-04-01,Refund,Mobile App,15487.14,2,7743.57,26.8881940765949822,461883.68,3
2024-04-01,Refund,EFTPOS,22347.14,2,11173.57,38.7982698791925940,461883.68,4
2024-05-01,Refund,Mobile App,6484.67,2,3242.33,13.6382956752099110,404285.39,1
2024-05-01,Refund,ATM,18435.82,2,9217.91,38.7734709977452026,404285.39,2
2024-05-01,Refund,EFTPOS,22627.02,3,7542.34,47.5882333270448862,404285.39,3
2024-06-01,Refund,Internet Banking,5204.48,1,5204.48,8.7144346889582020,356737.88,1
2024-06-01,Refund,Mobile App,12986.27,1,12986.27,21.7443436747143288,356737.88,2
2024-06-01,Refund,ATM,17090.24,2,8545.12,28.6160731328818676,356737.88,3
2024-06-01,Refund,EFTPOS,24441.53,2,12220.76,40.9251485034456014,356737.88,4
2024-07-01,Refund,Branch,2306.00,1,2306.00,6.1618970305855619,297015.36,1
2024-07-01,Refund,ATM,5202.38,1,5202.38,13.9013572740579859,297015.36,2
2024-07-01,Refund,EFTPOS,9271.75,1,9271.75,24.7751816102912765,297015.36,3
2024-07-01,Refund,Internet Banking,20643.41,4,5160.85,55.1615640850651755,297015.36,4
2024-08-01,Refund,Mobile App,6194.61,1,6194.61,36.4096261474603348,259591.82,1
2024-08-01,Refund,EFTPOS,10819.05,1,10819.05,63.5903738525396651,259591.82,2
2024-09-01,Refund,ATM,4542.70,1,4542.70,6.7834012365330961,242578.16,1
2024-09-01,Refund,Mobile App,12791.53,2,6395.77,19.1009928939067505,242578.16,2
2024-09-01,Refund,Branch,13488.32,1,13488.32,20.1414767796143464,242578.16,3
2024-09-01,Refund,EFTPOS,14740.46,1,14740.46,22.0112388207600419,242578.16,4
2024-09-01,Refund,Internet Banking,21404.87,2,10702.44,31.9628902691857648,242578.16,5
2024-10-01,Refund,EFTPOS,1086.67,2,543.34,2.2077302557397085,175610.28,1
2024-10-01,Refund,Internet Banking,10579.12,1,10579.12,21.4930414045672245,175610.28,2
2024-10-01,Refund,ATM,10875.10,1,10875.10,22.0943683953683315,175610.28,3
2024-10-01,Refund,Branch,26680.25,4,6670.06,54.2048599443247352,175610.28,4
2024-11-01,Refund,EFTPOS,4463.81,1,4463.81,6.9580527222747441,126389.14,1
2024-11-01,Refund,Branch,8706.27,2,4353.14,13.5710717244593601,126389.14,2
2024-11-01,Refund,ATM,12104.08,1,12104.08,18.8674757202101533,126389.14,3
2024-11-01,Refund,Internet Banking,16391.40,2,8195.70,25.5504211406610587,126389.14,4
2024-11-01,Refund,Mobile App,22487.59,3,7495.86,35.0529786923946836,126389.14,5
2024-12-01,Refund,EFTPOS,3062.85,2,1531.42,4.9213485637490461,62235.99,1
2024-12-01,Refund,Mobile App,13088.31,3,4362.77,21.0301306366300270,62235.99,2
2024-12-01,Refund,ATM,22256.58,3,7418.86,35.7615906808905907,62235.99,3
2024-12-01,Refund,Internet Banking,23828.25,2,11914.13,38.2869301187303359,62235.99,4
2024-01-01,Transfer,Branch,660.04,1,660.04,0.6349925902779675,729225.13,1
2024-01-01,Transfer,ATM,10612.83,1,10612.83,10.2100909215800890,729225.13,2
2024-01-01,Transfer,Mobile App,32501.78,4,8125.44,31.2683920229753333,729225.13,3
2024-01-01,Transfer,Internet Banking,60169.87,6,10028.31,57.8865244651666100,729225.13,4
2024-02-01,Transfer,Internet Banking,3955.78,1,3955.78,23.6789539497746004,625280.61,1
2024-02-01,Transfer,Mobile App,12750.11,1,12750.11,76.3210460502253995,625280.61,2
2024-03-01,Transfer,Branch,2398.79,1,2398.79,3.8568483944201840,608574.72,1
2024-03-01,Transfer,Mobile App,19307.47,2,9653.73,31.0431445311243882,608574.72,2
2024-03-01,Transfer,EFTPOS,20085.28,2,10042.64,32.2937313893587327,608574.72,3
2024-03-01,Transfer,ATM,20404.06,3,6801.35,32.8062756850966949,608574.72,4
2024-04-01,Transfer,Mobile App,6479.70,1,6479.70,11.5467951081377133,546379.12,1
2024-04-01,Transfer,ATM,12998.41,1,12998.41,23.1631058539081028,546379.12,2
2024-04-01,Transfer,Branch,15350.68,2,7675.34,27.3548399973127510,546379.12,3
